127.0.0.1 - - [06/Mar/2021:15:58:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:58:47 +0900] "GET /WYW/StoryPage.jsp HTTP/1.1" 200 6291
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:58:47 +0900] "GET /WYW/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:58:47 +0900] "GET /WYW/assets/js/jquery.poptrox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:58:47 +0900] "GET /WYW/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:58:47 +0900] "GET /WYW/assets/js/main.js HTTP/1.1" 200 4424
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:58:47 +0900] "GET /WYW/assets/css/main.css HTTP/1.1" 200 48002
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:58:47 +0900] "GET /WYW/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:58:47 +0900] "GET /WYW/images/logo/logo_wyw_yellow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:58:47 +0900] "GET /WYW/images/icon/setting.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:58:47 +0900] "GET /WYW/images/icon/user.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:58:47 +0900] "GET /WYW/images/avatar.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:58:47 +0900] "GET /WYW/images/icon/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:58:47 +0900] "GET /WYW/images/icon/up.png HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:58:47 +0900] "GET /WYW/images/icon/overmenu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:58:47 +0900] "GET /WYW/images/thumbs/01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:58:47 +0900] "GET /WYW/images/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:58:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:59:40 +0900] "GET /WYW/StoryPage.jsp HTTP/1.1" 200 6291
0:0:0:0:0:0:0:1 - - [06/Mar/2021:15:59:52 +0900] "GET /WYW/StoryPage.jsp HTTP/1.1" 200 6291
0:0:0:0:0:0:0:1 - - [06/Mar/2021:16:00:03 +0900] "GET /WYW/StoryPage.jsp HTTP/1.1" 200 6291
0:0:0:0:0:0:0:1 - - [06/Mar/2021:16:00:14 +0900] "GET /WYW/StoryPage.jsp HTTP/1.1" 200 6291
0:0:0:0:0:0:0:1 - - [06/Mar/2021:16:00:45 +0900] "GET /WYW/StoryPage.jsp HTTP/1.1" 200 6291
0:0:0:0:0:0:0:1 - - [06/Mar/2021:20:08:27 +0900] "GET /WYW/StoryPage.jsp HTTP/1.1" 200 6326
0:0:0:0:0:0:0:1 - - [06/Mar/2021:20:08:27 +0900] "GET /WYW/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:20:08:27 +0900] "GET /WYW/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Mar/2021:20:08:27 +0900] "GET /WYW/images/icon/up.png HTTP/1.1" 200 738
0:0:0:0:0:0:0:1 - - [06/Mar/2021:20:08:39 +0900] "POST /WYW/UploadController HTTP/1.1" 200 -
